run_id,test_name,is_anomaly,cpu_usage,http_req_duration,cpu_spike,latency_spike,memory_spike,error_rate,http_failure_rate,avg_response_time,failure_rate,go_memstats_alloc_bytes,go_memstats_alloc_bytes_total,go_memstats_buck_hash_sys_bytes,go_memstats_frees_total,go_memstats_gc_sys_bytes,go_memstats_heap_alloc_bytes,go_memstats_heap_idle_bytes,go_memstats_heap_inuse_bytes,go_memstats_heap_objects,go_memstats_heap_released_bytes
light-oauth2-data-1719592986,correct,0,4.0000000000000036,0.035429999999999996,0,0,0,0.0,0.0,0.030497333333333335,1.0,2383720,10437680,1450631,114559,4276024,2383720,3661824,4333568,17128,2097152
light-oauth2-data-1719592986,correct,0,4.0000000000000036,0.035429999999999996,0,0,0,0.0,0.0,0.030497333333333335,1.0,2397488,12285712,1451103,140739,4276024,2397488,3776512,4087808,19438,2875392
light-oauth2-data-1719592986,correct,0,3.999999999999998,0.035429999999999996,0,0,0,0.0,0.0,0.030497333333333335,1.0,2810600,14291880,1452063,165266,4280120,2810600,3334144,4562944,25448,2637824
light-oauth2-data-1719592986,correct,0,6.0,0.031348,1,0,0,0.0,0.0,0.030497333333333335,1.0,2717696,16353384,1452767,198715,4282168,2717696,3375104,4521984,21262,2293760
light-oauth2-data-1719592986,correct,0,3.999999999999998,0.035429999999999996,1,0,0,0.0,0.0,0.030497333333333335,1.0,2674040,18360832,1453807,225994,4282168,2674040,3383296,4546560,23451,2293760
light-oauth2-data-1719592986,correct,0,4.0000000000000036,0.035429999999999996,0,0,0,0.0,0.0,0.030497333333333335,1.0,2498344,20492968,1454351,261087,4290360,2498344,3514368,4415488,18862,2179072
light-oauth2-data-1719592986,correct,0,6.0,0.035429999999999996,1,0,0,0.0,0.0,0.030497333333333335,1.0,2514736,22415672,1455055,287136,4292408,2514736,3653632,4210688,21903,2686976
light-oauth2-data-1719592986,correct,0,4.0000000000000036,0.031578,1,0,0,0.0,0.0,0.030497333333333335,1.0,2753320,24372920,1455535,313421,4325176,2753320,3629056,4235264,25208,3055616
light-oauth2-data-1719592986,correct,0,5.999999999999994,0.031578,1,0,0,0.0,0.0,0.030497333333333335,1.0,2438744,27529056,1456511,352374,4294456,2438744,3874816,4055040,18037,3031040
light-oauth2-data-1719592986,correct,0,4.0000000000000036,0.031863999999999996,1,0,0,0.0,0.0,0.030497333333333335,1.0,2940616,29287936,1457103,372361,4294456,2940616,3563520,4333568,26170,2957312
light-oauth2-data-1719592986,correct,0,3.9999999999999925,0.031578,0,0,0,0.0,0.0,0.030497333333333335,1.0,2413560,32419032,1458111,412373,4294456,2413560,3981312,3981312,17680,2293760
light-oauth2-data-1719592986,correct,0,4.0000000000000036,0.031578,0,0,0,0.0,0.0,0.030497333333333335,1.0,2598112,34337152,1458575,440529,4294456,2598112,3514368,4415488,18312,2179072
light-oauth2-data-1719592986,correct,0,4.0000000000000036,0.031863999999999996,0,0,0,0.0,0.0,0.030497333333333335,1.0,2627216,36369592,1458815,468247,4294456,2627216,3530752,4431872,20491,1843200
light-oauth2-data-1719592986,register_client_400_clientType,1,9.99999999999999,0.031578,1,0,0,0.0,0.0,0.030497333333333335,1.0,2429208,38326264,1459271,498095,4294456,2429208,3842048,4087808,20564,3031040
light-oauth2-data-1719592986,register_client_400_clientType,1,4.0000000000000036,0.031863999999999996,1,0,0,0.0,0.0,0.030497333333333335,1.0,2822696,40294256,1460319,521112,4294456,2822696,3694592,4268032,26892,3031040
light-oauth2-data-1719592986,register_client_400_clientType,1,2.0000000000000018,0.031578,1,0,0,0.0,0.0,0.030497333333333335,1.0,2925608,42287936,1460783,553011,4327224,2925608,3424256,4440064,24805,2998272
light-oauth2-data-1719592986,register_client_400_clientProfile,1,0.0,0.031578,1,0,0,0.0,0.0,0.030497333333333335,1.0,2925608,42287936,1460783,553011,4327224,2925608,3424256,4440064,24805,2998272
light-oauth2-data-1719592986,register_client_400_clientProfile,1,5.999999999999994,0.031348,1,0,0,0.0,0.0,0.030497333333333335,1.0,2309432,45310112,1461023,589508,4298552,2309432,4112384,3883008,18687,3080192
light-oauth2-data-1719592986,register_client_400_clientProfile,1,4.0000000000000036,0.031348,1,0,0,0.0,0.0,0.030497333333333335,1.0,2842136,47241080,1462031,614636,4298552,2842136,3547136,4349952,23426,2973696
light-oauth2-data-1719592986,register_client_404_no_user,1,10.000000000000009,0.031348,1,0,0,0.0,0.0,0.030497333333333335,1.0,2838992,49242664,1462815,639861,4298552,2838992,3645440,4218880,27102,3080192
light-oauth2-data-1719592986,register_client_404_no_user,1,4.0000000000000036,0.031578,1,0,0,0.0,0.0,0.030497333333333335,1.0,3177624,51238808,1463799,667133,4298552,3177624,3284992,4612096,28958,2957312
light-oauth2-data-1719592986,register_client_404_no_user,1,3.9999999999999813,0.031348,0,0,0,0.0,0.0,0.030497333333333335,1.0,2298544,54413344,1464503,712027,4298552,2298544,3940352,3989504,16379,2875392
light-oauth2-data-1719592986,update_client_400_clientType,1,6.666666666666672,0.031238999999999996,1,0,0,0.0,0.0,0.030497333333333335,1.0,2823128,56174312,1464503,729866,4298552,2823128,3489792,4276224,26487,2875392
light-oauth2-data-1719592986,update_client_400_clientType,1,4.0000000000000036,0.031238999999999996,1,0,0,0.0,0.0,0.030497333333333335,1.0,2934240,58199696,1465943,758915,4333368,2934240,3506176,4358144,27762,2703360
light-oauth2-data-1719592986,update_client_400_clientType,1,4.0000000000000036,0.031223,0,0,0,0.0,0.0,0.030497333333333335,1.0,2357792,61351320,1466495,800977,4302648,2357792,3899392,4063232,16997,2039808
light-oauth2-data-1719592986,update_client_400_clientProfile,1,0.0,0.031223,1,0,0,0.0,0.0,0.030497333333333335,1.0,2357792,61351320,1466495,800977,4302648,2357792,3899392,4063232,16997,2039808
light-oauth2-data-1719592986,update_client_400_clientProfile,1,6.000000000000005,0.030591,1,0,0,0.0,0.0,0.030497333333333335,1.0,2512680,63248200,1467439,826862,4302648,2512680,3604480,4325376,19881,2326528
light-oauth2-data-1719592986,update_client_400_clientProfile,1,4.0000000000000036,0.031223,1,0,0,0.0,0.0,0.030497333333333335,1.0,2513368,65258240,1467663,855895,4302648,2513368,3579904,4317184,20454,2654208
light-oauth2-data-1719592986,update_client_404_ownerId,1,4.999999999999977,0.030591,0,0,0,0.0,0.0,0.030497333333333335,1.0,2813480,67219096,1468199,883954,4302648,2813480,3375104,4521984,22262,2588672
